City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,nador,-2.9287,35.174,16.14,77,100,6.69,MA,1674251602
331,naze,129.4833,28.3667,13.51,61,97,3.9,JP,1674251602
332,kholmogory,41.656,64.2229,-4.64,99,100,0.55,RU,1674251603
333,asau,26.4,46.4333,3.51,91,100,3.08,RO,1674251604
334,menongue,17.691,-14.6585,15.99,90,98,2.07,AO,1674251604
335,alzamay,98.6644,55.5562,-41.4,100,71,1.12,RU,1674251605
336,deputatskiy,139.9,69.3,-33.03,97,95,2.48,RU,1674251605
337,devils lake,-98.8651,48.1128,-6.01,93,100,9.26,US,1674251606
338,ucluelet,-125.5528,48.9329,7.83,87,100,0.45,CA,1674251484
339,gazojak,61.4036,41.1875,-4.62,63,100,2.9,TM,1674251607
340,walvis bay,14.5053,-22.9575,18.88,84,17,2.52,NA,1674251607
341,macamic,-78.9996,48.7502,-10.18,96,89,1.97,CA,1674251608
342,greytown,30.5928,-29.0642,16.87,95,100,1.19,ZA,1674251608
343,soyo,12.3689,-6.1349,25.16,83,100,1.59,AO,1674251609
344,abu samrah,37.1841,35.3029,9.62,60,0,2.3,SY,1674251609
345,san cristobal,-72.225,7.7669,23.1,55,25,1.38,VE,1674251610
346,carballo,-8.691,43.213,13.49,95,100,3.07,ES,1674251610
347,maceio,-35.7353,-9.6658,25.69,83,0,3.09,BR,1674251611
348,chicama,-79.1469,-7.8447,21.3,63,58,3.96,PE,1674251611
349,taupo,176.0833,-38.6833,18.84,63,44,0.62,NZ,1674251612
350,bahia blanca,-62.2724,-38.7196,27.94,63,78,0.45,AR,1674251612
351,skjeberg,11.2,59.2333,-4.95,91,6,1.44,NO,1674251613
352,gladstone,151.25,-23.85,25.44,65,0,5.66,AU,1674251613
353,sao jose da coroa grande,-35.1478,-8.8978,25.5,76,99,3.7,BR,1674251614
354,ixtapa,-105.2,20.7,25.68,73,44,3.13,MX,1674251614
355,chancay,-77.2672,-11.5714,22.61,74,50,3.25,PE,1674251615
356,chingola,27.8838,-12.529,16.96,97,100,3.46,ZM,1674251615
357,cabo san lucas,-109.9124,22.8909,24.17,53,12,1.34,MX,1674251615
